int3395,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(4#richard))
int3395,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#4))
int6987,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(6#richard))
int6987,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#6))
int2300,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(8#richard))
int0611,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(6#richard))
int0611,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#6))
int2442,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(3#richard))
int2442,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#3))
int0696,trustgame_simple,ellen,investor(10#3),ted,trustee(3),e(invest(1#ted))
int0696,trustgame_simple,ted,trustee(3),ellen,investor(10#3),e(repay(2#ellen))
int2604,trustgame_simple,ellen,investor(10#3),ted,trustee(3),e(invest(1#ted))
int2604,trustgame_simple,ted,trustee(3),ellen,investor(10#3),e(repay(2#ellen))
int6684,trustgame_simple,ellen,investor(10#3),ted,trustee(3),e(invest(9#ted))
int6684,trustgame_simple,ted,trustee(3),ellen,investor(10#3),e(repay(3#ellen))
int5124,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(4#richard))
int5124,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#4))
int4591,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(7#richard))
int4591,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#7))
int8079,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(9#richard))
int8079,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#9))
int8431,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(7#richard))
int8431,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#7))
int9104,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(7#richard))
int9104,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#7))
int7732,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(7#richard))
int7851,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(7#richard))
int7732,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#7))
int7851,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#7))
int3214,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(9#richard))
int3214,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#9))
int4588,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(8#richard))
int4588,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#8))
int3444,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(8#richard))
int3444,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#8))
int4931,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(3#richard))
int4931,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#3))
int1982,trustgame_simple,ellen,investor(10#3),ted,trustee(3),e(invest(9#ted))
int1982,trustgame_simple,ted,trustee(3),ellen,investor(10#3),e(repay(27#ellen))
int3793,trustgame_simple,ellen,investor(10#3),ted,trustee(3),e(invest(4#ted))
int1983,trustgame_simple,ellen,investor(10#3),ted,trustee(3),e(invest(2#ted))
int1983,trustgame_simple,ted,trustee(3),ellen,investor(10#3),e(repay(2#ellen))
int2476,trustgame_simple,ellen,investor(10#3),ted,trustee(3),e(invest(8#ted))
int2476,trustgame_simple,ted,trustee(3),ellen,investor(10#3),e(repay(6#ellen))
int3576,trustgame_simple,ellen,investor(10#3),ted,trustee(3),e(invest(8#ted))
int3576,trustgame_simple,ted,trustee(3),ellen,investor(10#3),e(repay(1#ellen))
int9501,trustgame_simple,ellen,investor(10#3),ted,trustee(3),e(invest(4#ted))
int9501,trustgame_simple,ted,trustee(3),ellen,investor(10#3),e(repay(8#ellen))
int5956,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(8#ted))
int5956,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(17#ellen))
int6399,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(2#ted))
int6399,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(2#ellen))
int0720,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(3#richard))
int0720,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#3))
int4296,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(3#richard))
int4296,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#3))
int9656,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(8#richard))
int9656,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#8))
int4097,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(1#richard))
int4097,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#1))
int1968,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(5#richard))
int1968,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#5))
int6337,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(4#richard))
int6337,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#4))
int1537,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(7#richard))
int1537,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#7))
int3927,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(8#richard))
int3927,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#8))
int6182,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(4#richard))
int6182,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#4))
int6369,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(9#ted))
int6369,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(17#ellen))
int3716,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(7#ted))
int3716,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(12#ellen))
int4710,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(9#ted))
int4710,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(2#ellen))
int8500,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(9#ted))
int8500,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(2#ellen))
int7139,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(8#richard))
int7266,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(8#richard))
int0933,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(2#richard))
int8487,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(9#richard))
int1721,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(8#richard))
int0217,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(3#ted))
int0217,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(4#ellen))
int5750,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(2#ted))
int5750,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(5#ellen))
int0383,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(1#ted))
int0383,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(3#ellen))
int4948,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(2#ted))
int4948,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(3#ellen))
int7767,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(7#ted))
int7767,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(1#ellen))
int7470,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(7#ted))
int2732,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(5#ted))
int2732,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(11#ellen))
int9890,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(10#richard))
int9890,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#10))
int4969,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(9#richard))
int4969,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#9))
int5364,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(9#richard))
int5364,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(reject#9))
int6463,ultimategame,peter,proposer(10),richard,responder(10),e(offernum(9#richard))
int6463,ultimategame,richard,responder(10),peter,proposer(10),e(acceptornot(accept#9))
int9615,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(9#ted))
int9615,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(4#ellen))
int9904,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(3#ted))
int3345,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(4#ted))
int5739,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(8#ted))
int3776,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(10#ted))
int3776,trustgame_simple,ted,trustee(10#3),ellen,investor(10#3),e(repay(1#ellen))
int1391,trustgame_simple,ellen,investor(10#3),ted,trustee(10#3),e(invest(6#ted))
